,lambda,phi,weights
0,0.0,1.640959052667812e-10,"[0.15065804 0.09197702 0.10483253 0.02855289 0.03950715 0.02583654
 0.02382797 0.03091742 0.01431773 0.01286434 0.06104382 0.05800503
 0.07770461 0.04883286 0.04361683 0.03346157 0.03675987 0.06441393
 0.02436576 0.0285041 ]"
1,0.5,2.2677837819423674e-10,"[0.15065804 0.09197702 0.10483253 0.02855289 0.03950715 0.02583654
 0.02382797 0.03091742 0.01431773 0.01286434 0.06104382 0.05800503
 0.07770461 0.04883286 0.04361683 0.03346157 0.03675987 0.06441393
 0.02436576 0.0285041 ]"
2,1.0,0.13880621502899967,"[1.50658111e-01 9.19770311e-02 1.04832533e-01 2.85527222e-02
 1.38241067e-08 2.58365611e-02 2.38279829e-02 3.09174235e-02
 4.09440085e-06 1.47930751e-08 6.10438381e-02 5.80050305e-02
 7.77046086e-02 4.88328167e-02 1.41230534e-08 1.72267616e-01
 3.67598861e-02 6.44139376e-02 2.43657521e-02 1.29569138e-08]"
3,1.5,0.24056150404860113,"[1.50658064e-01 9.19770249e-02 1.04832527e-01 4.38598321e-09
 2.34985503e-09 2.58365459e-02 2.38279772e-02 3.09174193e-02
 3.88078125e-09 2.43340481e-09 6.10438242e-02 5.80050264e-02
 7.77045115e-02 5.53230137e-09 2.49442996e-09 2.74023018e-01
 3.67598759e-02 6.44139328e-02 2.28992208e-07 2.41201492e-09]"
4,2.0,0.3182662139941906,"[1.50658087e-01 9.19770255e-02 1.04832514e-01 6.12130150e-09
 4.73085104e-09 2.58365514e-02 2.38279758e-02 3.09174151e-02
 6.82576819e-09 5.12185971e-09 6.10438303e-02 5.80050189e-02
 2.23530372e-08 6.97837970e-09 4.20427509e-09 3.51727692e-01
 3.67598802e-02 6.44139314e-02 1.75521402e-08 4.88114712e-09]"
5,2.5,0.3182662713821621,"[1.50658051e-01 9.19770223e-02 1.04832517e-01 1.29421220e-09
 1.05358457e-09 2.58365389e-02 2.38279743e-02 3.09174163e-02
 1.34193767e-09 1.16169471e-09 6.10438186e-02 5.80050249e-02
 2.92442124e-09 1.46499822e-09 9.23218651e-10 3.51727823e-01
 3.67598711e-02 6.44139296e-02 2.56702633e-09 7.86201112e-10]"
6,3.0,0.31826660605089774,"[1.50658067e-01 9.19770263e-02 1.04832304e-01 2.09800803e-09
 1.40539757e-09 2.58365433e-02 2.38279689e-02 3.09174094e-02
 1.94622182e-09 1.48774279e-09 6.10438218e-02 5.80049747e-02
 4.11646039e-09 2.29890236e-09 1.50095355e-09 3.51728129e-01
 3.67598725e-02 6.44138636e-02 3.78702376e-09 1.48408626e-09]"
7,3.5,0.5221128522121716,"[1.50658061e-01 9.19770121e-02 7.04921510e-08 1.88656631e-09
 1.32452864e-09 2.58365410e-02 2.38279661e-02 4.13002804e-07
 1.59237268e-09 1.61348810e-09 6.10438194e-02 5.43217463e-02
 3.29759311e-09 1.86222531e-09 1.35048071e-09 5.55574391e-01
 3.67598707e-02 9.19988612e-08 2.92405828e-09 1.20748784e-09]"
8,4.0,0.576435169421476,"[1.50658045e-01 9.19770146e-02 5.12451969e-09 4.40794012e-10
 3.38937165e-10 2.58365370e-02 2.38279589e-02 6.47804678e-09
 3.64873013e-10 3.89268339e-10 6.10438159e-02 6.43145878e-09
 7.32177736e-10 4.19768845e-10 3.42835295e-10 6.09896733e-01
 3.67598688e-02 4.83110966e-09 6.32758702e-10 2.75436192e-10]"
9,4.5,0.6002597755159332,"[1.50658050e-01 9.19769548e-02 7.46611276e-09 9.16276086e-10
 7.01730457e-10 2.58365377e-02 3.39893862e-06 9.45515926e-09
 7.91728059e-10 7.01146345e-10 6.10438162e-02 9.35285313e-09
 1.45992821e-09 9.18963637e-10 7.74168150e-10 6.33721333e-01
 3.67598673e-02 7.53989874e-09 1.32351784e-09 6.11797323e-10]"
10,5.0,0.6922371356298038,"[1.50658092e-01 2.62690603e-06 3.18492355e-08 4.29441270e-09
 3.50569116e-09 2.58365392e-02 2.40835542e-07 3.86631490e-08
 3.51360954e-09 4.20162601e-09 6.10438171e-02 3.69666263e-08
 7.12594325e-09 3.99411018e-09 3.24031935e-09 7.25698648e-01
 3.67598587e-02 3.04878634e-08 5.94255473e-09 2.64733402e-09]"
11,5.5,0.6922399471986593,"[1.50658061e-01 1.11204689e-07 1.16694300e-08 1.88363328e-09
 1.40875085e-09 2.58365350e-02 5.49704480e-08 1.43894869e-08
 1.57243096e-09 1.70225165e-09 6.10438114e-02 1.35808775e-08
 2.90689780e-09 1.77484457e-09 1.49743008e-09 7.25701496e-01
 3.67598623e-02 1.13700680e-08 2.58772854e-09 1.19170338e-09]"
12,6.0,0.6922401199397449,"[1.50658051e-01 2.27255395e-08 5.44485133e-09 1.03359975e-09
 8.28320296e-10 2.58365339e-02 1.58536460e-08 6.44245829e-09
 8.83529217e-10 7.87042597e-10 6.10438125e-02 6.06916389e-09
 1.55400784e-09 9.57854648e-10 9.56770495e-10 7.25701679e-01
 3.67598526e-02 5.16343557e-09 1.34304772e-09 6.56214984e-10]"
13,6.5,0.6922401616500122,"[1.50658041e-01 2.93246166e-09 9.15787382e-10 1.91644734e-10
 1.61062632e-10 2.58365352e-02 2.37933824e-09 1.10642593e-09
 1.76247266e-10 1.51099137e-10 6.10438147e-02 1.03762672e-09
 2.80601024e-10 1.74985301e-10 1.78456814e-10 7.25701731e-01
 3.67598671e-02 8.93603368e-10 2.42867307e-10 1.25340355e-10]"
14,7.0,0.6922401706554503,"[1.50658043e-01 5.09965667e-09 1.91201851e-09 4.30301881e-10
 3.76500209e-10 2.58365335e-02 4.37982459e-09 2.28864788e-09
 4.09779084e-10 3.46931424e-10 6.10438141e-02 2.16972683e-09
 6.31831109e-10 3.94598147e-10 4.00378150e-10 7.25701738e-01
 3.67598498e-02 1.88543323e-09 5.48134556e-10 2.86261329e-10]"
15,7.5,0.6922403918707044,"[1.50658043e-01 4.81900735e-09 1.95151288e-09 4.23093843e-10
 3.38380607e-10 2.58365322e-02 4.28528723e-09 2.27665699e-09
 4.09425560e-10 3.36772680e-10 6.10438088e-02 2.21358277e-09
 6.51134944e-10 4.29164791e-10 3.52704023e-10 7.25701959e-01
 3.67596354e-02 1.97566516e-09 5.99720150e-10 3.07841180e-10]"
16,8.0,0.7290000273398974,"[1.50658039e-01 1.52992878e-10 6.99953652e-11 1.71082096e-11
 1.59532845e-11 2.58365357e-02 1.38052251e-10 8.21583323e-11
 1.77150315e-11 1.46104117e-11 6.10438147e-02 7.98875556e-11
 2.50036843e-11 1.61690374e-11 1.61140367e-11 7.62461599e-01
 1.11000187e-08 7.06904131e-11 2.27194864e-11 1.21788092e-11]"
17,8.5,0.7289999430225249,"[1.50658042e-01 2.73218017e-09 1.25443116e-09 2.96760279e-10
 2.89947310e-10 2.58365311e-02 2.57227098e-09 1.47792285e-09
 3.35514634e-10 2.84854941e-10 6.10438133e-02 1.44039482e-09
 4.33731070e-10 2.92417507e-10 2.72444197e-10 7.62461512e-01
 8.85665273e-08 1.27436660e-09 4.19657574e-10 2.30636694e-10]"
18,9.0,0.7290000146870865,"[1.50658042e-01 2.54463124e-09 1.24233798e-09 2.99704799e-10
 2.89399848e-10 2.58365320e-02 2.38482026e-09 1.43002250e-09
 3.39791098e-10 2.91954374e-10 6.10438038e-02 1.40960793e-09
 4.39135255e-10 3.02858383e-10 2.61487403e-10 7.62461583e-01
 2.59231368e-08 1.24840145e-09 4.31943183e-10 2.39414742e-10]"
