,lambda,phi,weights
0,0.0,3.4541326179513e-09,"[0.15065804 0.09197702 0.10483253 0.02855289 0.03950715 0.02583654
 0.02382797 0.03091742 0.01431773 0.01286434 0.06104381 0.05800503
 0.07770461 0.04883286 0.04361683 0.03346157 0.03675987 0.06441393
 0.02436576 0.0285041 ]"
1,0.5,5.7377493577551175e-08,"[0.15065805 0.09197703 0.10483253 0.02855289 0.03950714 0.02583654
 0.02382798 0.03091742 0.01431773 0.01286433 0.06104382 0.05800503
 0.07770461 0.04883285 0.04361681 0.03346158 0.03675988 0.06441394
 0.02436576 0.02850409]"
2,1.0,8.565142704461404e-09,"[0.15065804 0.09197702 0.10483253 0.02855289 0.03950715 0.02583654
 0.02382798 0.03091742 0.01431773 0.01286434 0.06104382 0.05800503
 0.07770461 0.04883286 0.04361682 0.03346157 0.03675987 0.06441393
 0.02436576 0.0285041 ]"
3,1.5,0.13881019640808323,"[1.50658432e-01 9.19770692e-02 1.04832554e-01 2.85520603e-02
 5.22524975e-08 2.58366682e-02 2.38280153e-02 3.09174441e-02
 7.16311969e-07 5.77164316e-08 6.10439353e-02 5.80050518e-02
 7.77046051e-02 4.88327371e-02 5.88313529e-08 1.72270848e-01
 3.67599570e-02 6.44139563e-02 2.43657292e-02 5.15503086e-08]"
4,2.0,0.2161959057268121,"[1.50658055e-01 9.19770240e-02 1.04832530e-01 3.62846991e-09
 1.53983616e-09 2.58365415e-02 2.38279763e-02 3.09174192e-02
 3.05945258e-09 1.68555093e-09 6.10438204e-02 5.80050264e-02
 7.77045871e-02 4.72698580e-09 1.54447062e-09 2.49657442e-01
 3.67598731e-02 6.44139333e-02 2.43657542e-02 1.58483748e-09]"
5,2.5,0.3182647888911796,"[1.50658260e-01 9.19770418e-02 1.04832500e-01 3.44135904e-08
 1.79410291e-08 2.58366070e-02 2.38279885e-02 3.09174176e-02
 3.16545893e-08 2.04841218e-08 6.10438874e-02 5.80050211e-02
 9.47431898e-07 4.24732910e-08 1.84841296e-08 3.51725913e-01
 3.67599186e-02 6.44139217e-02 3.92903317e-07 1.70730973e-08]"
6,3.0,0.31826620084480073,"[1.50658076e-01 9.19770243e-02 1.04832525e-01 4.97519233e-09
 2.45497498e-09 2.58365425e-02 2.38279751e-02 3.09174156e-02
 4.89194785e-09 3.04227863e-09 6.10438247e-02 5.80050219e-02
 3.07729386e-08 5.44921517e-09 2.51678110e-09 3.51727711e-01
 3.67598748e-02 6.44139279e-02 2.40891815e-08 2.44513899e-09]"
7,3.5,0.31826626343386594,"[1.50658042e-01 9.19770225e-02 1.04832530e-01 2.68591043e-10
 1.45314436e-10 2.58365365e-02 2.38279748e-02 3.09174181e-02
 2.52594200e-10 1.68764684e-10 6.10438159e-02 5.80050253e-02
 8.20135766e-10 2.81127698e-10 1.50844925e-10 3.51727830e-01
 3.67598696e-02 6.44139323e-02 7.45491552e-10 1.48629663e-10]"
8,4.0,0.31826633951590566,"[1.50658070e-01 9.19770195e-02 1.04832471e-01 2.66174090e-09
 1.82305395e-09 2.58365447e-02 2.38279719e-02 3.09174123e-02
 2.26936404e-09 2.10024904e-09 6.10438234e-02 5.80050197e-02
 5.54363381e-09 2.68425281e-09 1.90918924e-09 3.51727858e-01
 3.67598741e-02 6.44139101e-02 4.78666916e-09 1.63114464e-09]"
9,4.5,0.31826683451380744,"[1.50658121e-01 9.19770108e-02 1.04832221e-01 5.26083662e-09
 3.52508552e-09 2.58365580e-02 2.38279626e-02 3.09173861e-02
 4.84803727e-09 3.70255459e-09 6.10438341e-02 5.80049355e-02
 1.01125338e-08 5.69037717e-09 3.66952047e-09 3.51728274e-01
 3.67598787e-02 6.44137693e-02 9.04421051e-09 3.61298200e-09]"
10,5.0,0.44340417418232225,"[1.50658040e-01 9.19770218e-02 1.54436360e-08 6.92624069e-11
 5.00168633e-11 2.58365362e-02 2.38279745e-02 3.09174158e-02
 6.14194637e-11 5.43622396e-11 6.10438154e-02 5.80050238e-02
 1.26443243e-10 7.23239845e-11 5.08712774e-11 4.76865744e-01
 3.67598693e-02 4.41085430e-02 1.10928673e-10 4.70459581e-11]"
11,5.5,0.576434268798647,"[1.50658065e-01 9.19770131e-02 7.16788485e-08 2.20842823e-09
 1.59494670e-09 2.58365419e-02 2.38279574e-02 2.54116621e-07
 1.81645361e-09 1.92568325e-09 6.10438200e-02 4.75962475e-07
 3.76747909e-09 2.12365764e-09 1.73518440e-09 6.09895802e-01
 3.67598704e-02 1.08441225e-07 3.27743400e-09 1.36705398e-09]"
12,6.0,0.5764350399591689,"[1.50658080e-01 9.19769086e-02 4.37697798e-08 3.11383943e-09
 2.33255132e-09 2.58365438e-02 2.38279556e-02 6.85142106e-08
 2.72071543e-09 2.28896322e-09 6.10438213e-02 7.68847749e-08
 5.14943193e-09 3.04733957e-09 2.63511579e-09 6.09896556e-01
 3.67598689e-02 4.84776599e-08 4.50000120e-09 2.02276064e-09]"
