,internPnl,balance,pnl
2022-09-23,0.0,100000000.0,1.0
2022-09-26,-2863.605083509259,99997136.39491649,0.9999713639491649
2022-09-27,-793.5051591992676,99996342.88975729,0.999963428897573
2022-09-28,3101.2256496519594,99999444.11540695,0.9999944411540694
2022-09-29,-1009.1570914666393,99998434.95831548,0.9999843495831547
2022-09-30,282.04889947123024,99998717.00721495,0.9999871700721494
2022-10-03,2536.784170723273,100001253.79138567,1.0000125379138567
2022-10-04,120.19742396634274,100001373.98880963,1.0000137398880964
2022-10-05,-1644.5097715776578,99999729.47903806,0.9999972947903806
2022-10-06,-603.4725712759589,99999126.00646679,0.9999912600646679
2022-10-07,-1460.5313295704293,99997665.47513722,0.9999766547513722
2022-10-10,-403.52598400477564,99997261.94915321,0.9999726194915322
2022-10-11,-622.8061543388019,99996639.14299887,0.9999663914299888
2022-10-12,1135.5513175849328,99997774.69431646,0.9999777469431647
2022-10-13,-290.7444718055199,99997483.94984464,0.9999748394984465
2022-10-14,-1451.8239779006353,99996032.12586676,0.9999603212586675
2022-10-17,-456.3258196645347,99995575.80004708,0.9999557580004709
2022-10-18,764.4676753459751,99996340.26772243,0.9999634026772243
2022-10-19,-621.7182429132145,99995718.54947951,0.9999571854947952
2022-10-20,-2144.482703361546,99993574.06677616,0.9999357406677616
2022-10-21,-768.1067435653522,99992805.9600326,0.9999280596003259
2022-10-24,3399.0252722296077,99996204.98530482,0.9999620498530482
2022-10-25,-1013.740301446918,99995191.24500337,0.9999519124500337
2022-10-26,970.0307818744038,99996161.27578525,0.9999616127578526
2022-10-27,1123.289710618252,99997284.56549586,0.9999728456549586
2022-10-28,1209.2744942085073,99998493.83999008,0.9999849383999008
2022-10-31,-1571.3869046499099,99996922.45308542,0.9999692245308542
2022-11-01,225.96414762373934,99997148.41723305,0.9999714841723305
2022-11-02,-1607.021513761398,99995541.39571929,0.9999554139571929
2022-11-03,-1422.331218268596,99994119.06450102,0.9999411906450102
2022-11-04,-798.4005659139159,99993320.66393511,0.9999332066393511
2022-11-07,308.5303087057357,99993629.1942438,0.999936291942438
2022-11-08,-752.2083885252025,99992876.98585528,0.9999287698585528
2022-11-09,1761.7191042119873,99994638.7049595,0.9999463870495949
2022-11-10,5622.4725799796115,100000261.17753948,1.0000026117753948
2022-11-11,72.77366565293596,100000333.95120513,1.0000033395120513
2022-11-14,-1580.8206099434271,99998753.13059519,0.999987531305952
2022-11-15,1382.398123503621,100000135.5287187,1.000001355287187
2022-11-16,663.7764662805639,100000799.30518498,1.0000079930518497
2022-11-17,-1548.8777394869312,99999250.42744549,0.9999925042744549
2022-11-18,-105.17700527950501,99999145.25044021,0.9999914525044021
2022-11-21,-907.2904368350787,99998237.96000336,0.9999823796000337
2022-11-22,38.78605221140242,99998276.74605557,0.9999827674605557
2022-11-23,744.5271461381756,99999021.27320172,0.9999902127320172
2022-11-25,30.849995965880908,99999052.12319769,0.9999905212319768
2022-11-28,559.2546644729025,99999611.37786216,0.9999961137786215
2022-11-29,-286.06519756705666,99999325.31266458,0.9999932531266459
2022-11-30,-880.1748254515508,99998445.13783914,0.9999844513783914
2022-12-01,3653.6224103569275,100002098.7602495,1.000020987602495
2022-12-02,-584.2421128055971,100001514.5181367,1.000015145181367
2022-12-05,112.20179656690107,100001626.71993326,1.0000162671993327
2022-12-06,-770.6040760878222,100000856.11585717,1.0000085611585716
2022-12-07,1647.4940947009236,100002503.60995187,1.0000250360995186
2022-12-08,-175.67384302278128,100002327.93610884,1.0000232793610884
2022-12-09,-178.6686120714835,100002149.26749678,1.0000214926749678
2022-12-12,-1069.5420439331633,100001079.72545284,1.0000107972545285
2022-12-13,2676.2666932518314,100003755.99214609,1.0000375599214608
2022-12-14,590.429499061066,100004346.42164515,1.0000434642164515
2022-12-15,-1239.6820930370643,100003106.73955211,1.000031067395521
2022-12-16,259.6285117631976,100003366.36806388,1.0000336636806388
2022-12-19,-121.89533649579698,100003244.47272739,1.000032444727274
2022-12-20,-687.8954078947693,100002556.57731949,1.000025565773195
2022-12-21,900.3825866006825,100003456.95990609,1.000034569599061
2022-12-22,-278.18401597905495,100003178.77589011,1.0000317877589011
2022-12-23,-1223.9792794202992,100001954.7966107,1.000019547966107
2022-12-27,-1213.9313647609943,100000740.86524592,1.0000074086524593
2022-12-28,139.2398484003195,100000880.10509433,1.0000088010509434
2022-12-29,-218.96393565634253,100000661.14115867,1.0000066114115866
2022-12-30,-33.92926325057579,100000627.21189542,1.0000062721189542
