date,stock,count,marketPrice,filledPrice
2022-09-23,USA Notes 2.625% 31mar2025,7631,1974.37942172,1974.37942172
2022-09-23,USA Notes 1.25% 31dec2026,5244,1753.98026694,1753.98026694
2022-09-23,USA Notes 0.625% 31dec2027,1,1251.154410915,1251.154410915
2022-09-23,USA Bonds 3.25% 15may2042,1,1429.71463714,1429.71463714
2022-09-23,USA Bonds 3% 15aug2052,1,1969.514557425,1969.514557425
2022-09-23,Freddie Mac 0.375% 23sep2025,1277,2023.1559975888,2023.1559975888
2022-09-23,New South Wales Treasury Corp 3% 20may2027,1256,1897.335286005,1897.335286005
2022-09-23,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,2039,1516.377690755,1516.377690755
2022-09-23,New South Wales Treasury Corp 2.25% 7may2041,1,1689.19006719,1689.19006719
2022-09-23,Belgium OLO 3.75% 22jun2045,1,1431.74046296,1431.74046296
2022-09-23,Japan JGB 0.4% 20sep2025,3666,1665.33060798,1665.33060798
2022-09-23,Japan JGB 0.1% 20sep2027,5079,1142.14020028,1142.14020028
2022-09-23,Japan JGB 0.1% 20jun2031,1,1458.52970441,1458.52970441
2022-09-23,Japan JGB 1% 20dec2035,1,1702.35957856,1702.35957856
2022-09-23,Japan JGB 1.7% 20sep2044,1,1154.62090096,1154.62090096
2022-09-23,Spain OBL 3.8% 30apr2024,30317,1572.9711997,1572.9711997
2022-09-23,Spain OBL 2.15% 31oct2025,1774,2072.464701605,2072.464701605
2022-09-23,Spain OBL 1.45% 31oct2027,2532,1742.326934035,1742.326934035
2022-09-23,Spain OBL 2.35% 30jul2033,1,2048.999721,2048.999721
2022-09-23,Spain OBL 2.9% 31oct2046,1,1712.24027972,1712.24027972
2022-09-26,Freddie Mac 0.375% 23sep2025,1,2022.86011139,2022.86011139
2022-09-27,USA Notes 2.625% 31mar2025,2,1973.904904095,1973.904904095
2022-09-27,USA Notes 1.25% 31dec2026,1,1753.23482353,1753.23482353
2022-09-27,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1515.6118377125,1515.6118377125
2022-09-27,Spain OBL 1.45% 31oct2027,1,1741.312686625,1741.312686625
2022-09-28,USA Notes 1.25% 31dec2026,2,1754.045623315,1754.045623315
2022-09-28,New South Wales Treasury Corp 3% 20may2027,1,1897.371546275,1897.371546275
2022-09-28,Spain OBL 2.15% 31oct2025,1,2072.29079432,2072.29079432
2022-09-28,Spain OBL 1.45% 31oct2027,1,1741.856561425,1741.856561425
2022-09-29,USA Notes 2.625% 31mar2025,-2,1974.18442289,1974.18442289
2022-09-29,USA Notes 1.25% 31dec2026,-3,1753.98008898,1753.98008898
2022-09-29,New South Wales Treasury Corp 3% 20may2027,-1,1897.33066731,1897.33066731
2022-09-29,Japan JGB 0.1% 20sep2027,1,1142.03909964,1142.03909964
2022-09-29,Spain OBL 2.15% 31oct2025,-1,2072.30990069,2072.30990069
2022-09-29,Spain OBL 1.45% 31oct2027,-1,1741.7816559575,1741.7816559575
2022-09-30,USA Notes 2.625% 31mar2025,1,1974.2204811,1974.2204811
2022-09-30,Freddie Mac 0.375% 23sep2025,-1,2023.313821372,2023.313821372
2022-10-03,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1517.4677894025,1517.4677894025
2022-10-03,Japan JGB 0.1% 20sep2027,-1,1142.1210012,1142.1210012
2022-10-03,Spain OBL 1.45% 31oct2027,-1,1743.3024046975,1743.3024046975
2022-10-04,USA Notes 2.625% 31mar2025,-2,1974.57480685,1974.57480685
2022-10-04,USA Notes 1.25% 31dec2026,-2,1754.66919297,1754.66919297
2022-10-04,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1517.89441863,1517.89441863
2022-10-04,Spain OBL 1.45% 31oct2027,-1,1743.5268313075,1743.5268313075
2022-10-05,New South Wales Treasury Corp 3% 20may2027,-1,1898.32980734,1898.32980734
2022-10-05,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1517.3077889225,1517.3077889225
2022-10-05,Spain OBL 2.15% 31oct2025,-1,2072.975499875,2072.975499875
2022-10-05,Spain OBL 1.45% 31oct2027,-1,1742.8109481,1742.8109481
2022-10-06,USA Notes 2.625% 31mar2025,1,1974.27971116,1974.27971116
2022-10-06,USA Notes 1.25% 31dec2026,2,1753.955,1753.955
2022-10-06,New South Wales Treasury Corp 3% 20may2027,1,1898.1998076,1898.1998076
2022-10-06,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1517.1008649,1517.1008649
2022-10-06,Spain OBL 2.15% 31oct2025,1,2072.6890031,2072.6890031
2022-10-06,Spain OBL 1.45% 31oct2027,1,1742.3831606775,1742.3831606775
2022-10-07,USA Notes 2.625% 31mar2025,1,1974.08951955,1974.08951955
2022-10-07,Spain OBL 1.45% 31oct2027,1,1741.8381568625,1741.8381568625
2022-10-10,USA Notes 1.25% 31dec2026,1,1753.554203005,1753.554203005
2022-10-10,Freddie Mac 0.375% 23sep2025,1,2023.12071296,2023.12071296
2022-10-10,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1516.654330415,1516.654330415
2022-10-10,Spain OBL 1.45% 31oct2027,1,1741.653061915,1741.653061915
2022-10-11,USA Notes 1.25% 31dec2026,1,1753.50535402,1753.50535402
2022-10-12,USA Notes 2.625% 31mar2025,1,1974.095288285,1974.095288285
2022-10-13,USA Notes 2.625% 31mar2025,-1,1974.064135415,1974.064135415
2022-10-14,USA Notes 1.25% 31dec2026,1,1753.06008806,1753.06008806
2022-10-14,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1516.096549025,1516.096549025
2022-10-17,USA Notes 2.625% 31mar2025,1,1973.80404195,1973.80404195
2022-10-18,USA Notes 1.25% 31dec2026,-1,1753.235794115,1753.235794115
2022-10-18,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1516.31028593,1516.31028593
2022-10-19,USA Notes 1.25% 31dec2026,1,1752.99535198,1752.99535198
2022-10-19,Japan JGB 0.1% 20sep2027,1,1142.03959984,1142.03959984
2022-10-20,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1515.57,1515.57
2022-10-20,Spain OBL 2.15% 31oct2025,1,2071.944307385,2071.944307385
2022-10-20,Spain OBL 1.45% 31oct2027,1,1741.15787263,1741.15787263
2022-10-21,USA Notes 2.625% 31mar2025,1,1973.4492364,1973.4492364
2022-10-21,USA Notes 1.25% 31dec2026,1,1752.834912165,1752.834912165
2022-10-21,New South Wales Treasury Corp 3% 20may2027,1,1896.5075,1896.5075
2022-10-24,USA Notes 2.625% 31mar2025,1,1973.8890411,1973.8890411
2022-10-24,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1515.15174678,1515.15174678
2022-10-25,USA Notes 2.625% 31mar2025,-2,1973.76952115,1973.76952115
2022-10-25,Japan JGB 0.1% 20sep2027,1,1141.81960072,1141.81960072
2022-10-25,Spain OBL 2.15% 31oct2025,-1,2072.575497875,2072.575497875
2022-10-25,Spain OBL 1.45% 31oct2027,-1,1742.375660625,1742.375660625
2022-10-26,USA Notes 2.625% 31mar2025,1,1973.88980822,1973.88980822
2022-10-26,USA Notes 1.25% 31dec2026,-2,1753.51946888,1753.51946888
2022-10-26,New South Wales Treasury Corp 3% 20may2027,-1,1897.67211731,1897.67211731
2022-10-26,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1516.4257634,1516.4257634
2022-10-26,Spain OBL 1.45% 31oct2027,-1,1742.3924056075,1742.3924056075
2022-10-27,USA Notes 2.625% 31mar2025,-1,1974.03557621,1974.03557621
2022-10-27,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1516.95990404,1516.95990404
2022-10-27,Japan JGB 0.1% 20sep2027,-1,1142.04040016,1142.04040016
2022-10-28,USA Notes 2.625% 31mar2025,-1,1974.1999038,1974.1999038
2022-10-28,USA Notes 1.25% 31dec2026,-1,1753.754556225,1753.754556225
2022-10-28,Freddie Mac 0.375% 23sep2025,-1,2022.934377455,2022.934377455
2022-10-28,Spain OBL 1.45% 31oct2027,-1,1742.8033532225,1742.8033532225
2022-10-31,Freddie Mac 0.375% 23sep2025,1,2022.988701953384,2022.988701953384
2022-10-31,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1516.693456925,1516.693456925
2022-10-31,Japan JGB 0.1% 20sep2027,-1,1142.1491988,1142.1491988
2022-11-01,USA Notes 2.625% 31mar2025,1,1974.00980798,1974.00980798
2022-11-01,USA Notes 1.25% 31dec2026,1,1753.344734965,1753.344734965
2022-11-01,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1516.83019166,1516.83019166
2022-11-01,Spain OBL 1.45% 31oct2027,1,1742.6395268,1742.6395268
2022-11-03,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1515.93287973,1515.93287973
2022-11-04,USA Notes 2.625% 31mar2025,1,1973.52009552,1973.52009552
2022-11-04,USA Notes 1.25% 31dec2026,2,1752.955439775,1752.955439775
2022-11-04,Spain OBL 1.45% 31oct2027,1,1741.846936915,1741.846936915
2022-11-07,USA Notes 1.25% 31dec2026,-1,1752.88956055,1752.88956055
2022-11-07,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1516.2029760125,1516.2029760125
2022-11-08,USA Notes 1.25% 31dec2026,1,1753.03447179,1753.03447179
2022-11-08,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1516.06066542,1516.06066542
2022-11-08,Spain OBL 2.15% 31oct2025,1,2072.135297405,2072.135297405
2022-11-09,USA Notes 2.625% 31mar2025,1,1973.685287055,1973.685287055
2022-11-09,USA Notes 1.25% 31dec2026,-1,1753.25570604,1753.25570604
2022-11-10,USA Notes 2.625% 31mar2025,-1,1974.425674975,1974.425674975
2022-11-10,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1517.6270168625,1517.6270168625
2022-11-10,Spain OBL 2.15% 31oct2025,-1,2072.8253993,2072.8253993
2022-11-10,Spain OBL 1.45% 31oct2027,-1,1743.16673866,1743.16673866
2022-11-11,USA Notes 2.625% 31mar2025,-3,1974.42961428,1974.42961428
2022-11-11,USA Notes 1.25% 31dec2026,-4,1754.485089485,1754.485089485
2022-11-11,Freddie Mac 0.375% 23sep2025,-1,2023.749282,2023.749282
2022-11-11,New South Wales Treasury Corp 3% 20may2027,-1,1898.36711453,1898.36711453
2022-11-11,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1517.23326986,1517.23326986
2022-11-11,Spain OBL 1.45% 31oct2027,-1,1742.30825446,1742.30825446
2022-11-14,New South Wales Treasury Corp 3% 20may2027,1,1898.1505769,1898.1505769
2022-11-14,Spain OBL 1.45% 31oct2027,1,1742.3772168675,1742.3772168675
2022-11-15,USA Notes 2.625% 31mar2025,1,1974.414710755,1974.414710755
2022-11-15,USA Notes 1.25% 31dec2026,1,1754.52982094,1754.52982094
2022-11-15,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1517.20942274,1517.20942274
2022-11-16,USA Notes 2.625% 31mar2025,-1,1974.499614,1974.499614
2022-11-16,USA Notes 1.25% 31dec2026,-1,1754.73946156,1754.73946156
2022-11-16,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1517.767693535,1517.767693535
2022-11-17,USA Notes 1.25% 31dec2026,-1,1754.395446975,1754.395446975
2022-11-17,New South Wales Treasury Corp 3% 20may2027,-1,1898.74172606,1898.74172606
2022-11-17,Spain OBL 1.45% 31oct2027,-1,1742.926930435,1742.926930435
2022-11-18,USA Notes 2.625% 31mar2025,1,1974.284326005,1974.284326005
2022-11-18,USA Notes 1.25% 31dec2026,1,1754.38964244,1754.38964244
2022-11-21,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1518.0477911425,1518.0477911425
2022-11-28,New South Wales Treasury Corp 3% 20may2027,1,1898.9277907825,1898.9277907825
2022-11-28,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1518.043470425,1518.043470425
2022-11-29,USA Notes 2.625% 31mar2025,-1,1974.305,1974.305
2022-11-29,New South Wales Treasury Corp 3% 20may2027,-1,1898.84672522,1898.84672522
2022-11-29,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1517.88596885,1517.88596885
2022-11-29,Japan JGB 0.1% 20sep2027,1,1142.02030006,1142.02030006
2022-12-01,USA Notes 2.625% 31mar2025,1,1974.65961336,1974.65961336
2022-12-01,USA Notes 1.25% 31dec2026,1,1755.15981968,1755.15981968
2022-12-02,USA Notes 2.625% 31mar2025,-2,1974.57922736,1974.57922736
2022-12-02,USA Notes 1.25% 31dec2026,-3,1755.10963956,1755.10963956
2022-12-02,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,-1,1518.9668142275,1518.9668142275
2022-12-02,Spain OBL 1.45% 31oct2027,-1,1743.523073135,1743.523073135
2022-12-07,USA Notes 2.625% 31mar2025,1,1974.72038688,1974.72038688
2022-12-08,USA Notes 2.625% 31mar2025,-1,1974.6804834,1974.6804834
2022-12-08,USA Notes 1.25% 31dec2026,-1,1755.395813555,1755.395813555
2022-12-08,Japan JGB 0.4% 20sep2025,1,1665.11040444,1665.11040444
2022-12-12,USA Notes 1.25% 31dec2026,1,1755.095090095,1755.095090095
2022-12-12,Spain OBL 1.45% 31oct2027,1,1743.1318340725,1743.1318340725
2022-12-13,USA Notes 2.625% 31mar2025,1,1974.88077504,1974.88077504
2022-12-14,USA Notes 2.625% 31mar2025,-2,1974.9604848,1974.9604848
2022-12-14,USA Notes 1.25% 31dec2026,-2,1755.74518149,1755.74518149
2022-12-16,USA Notes 2.625% 31mar2025,1,1974.8195159,1974.8195159
2022-12-16,USA Notes 1.25% 31dec2026,1,1755.599547,1755.599547
2022-12-16,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1518.276527225,1518.276527225
2022-12-16,Spain OBL 2.15% 31oct2025,1,2071.66578932,2071.66578932
2022-12-16,Spain OBL 1.45% 31oct2027,1,1741.707312585,1741.707312585
2022-12-19,USA Notes 2.625% 31mar2025,-1,1974.8190318,1974.8190318
2022-12-19,Spain OBL 1.45% 31oct2027,1,1741.66981266,1741.66981266
2022-12-20,Japan JGB 0.4% 20sep2025,-1,1665.11,1665.11
2022-12-21,USA Notes 2.625% 31mar2025,1,1974.835096835,1974.835096835
2022-12-21,USA Notes 1.25% 31dec2026,1,1755.294909705,1755.294909705
2022-12-21,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1517.54913105,1517.54913105
2022-12-21,Japan JGB 0.4% 20sep2025,1,1665.04040416,1665.04040416
2022-12-21,Japan JGB 0.1% 20sep2027,1,1141.66970099,1141.66970099
2022-12-21,Spain OBL 1.45% 31oct2027,1,1741.30537322,1741.30537322
2022-12-22,USA Notes 2.625% 31mar2025,-1,1974.8025968025,1974.8025968025
2022-12-22,USA Notes 1.25% 31dec2026,-1,1755.3190968,1755.3190968
2022-12-23,USA Notes 2.625% 31mar2025,1,1974.655289965,1974.655289965
2022-12-23,New South Wales Treasury Corp 3% 20may2027,1,1898.3768253575,1898.3768253575
2022-12-23,Japan JGB 0.1% 20sep2027,2,1141.4490055,1141.4490055
2022-12-27,USA Notes 1.25% 31dec2026,1,1754.76982046,1754.76982046
2022-12-27,Japan JGB 0.1% 20sep2027,-1,1141.35980128,1141.35980128
2022-12-28,USA Notes 2.625% 31mar2025,1,1974.50557903,1974.50557903
2022-12-28,USA Notes 1.25% 31dec2026,1,1754.65553793,1754.65553793
2022-12-28,Japan JGB 0.1% 20sep2027,1,1141.33940396,1141.33940396
2022-12-29,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,2,1516.2227856675,1516.2227856675
