date,stock,count,marketPrice,filledPrice
2022-09-23,USA Notes 2.625% 31mar2025,7631,1974.37942172,1974.37942172
2022-09-23,USA Notes 1.25% 31dec2026,1,1753.98026694,1753.98026694
2022-09-23,USA Notes 0.625% 31dec2027,1,1251.154410915,1251.154410915
2022-09-23,USA Bonds 3.25% 15may2042,1,1429.71463714,1429.71463714
2022-09-23,USA Bonds 3% 15aug2052,1,1969.514557425,1969.514557425
2022-09-23,Freddie Mac 0.375% 23sep2025,1277,2023.1559975888,2023.1559975888
2022-09-23,New South Wales Treasury Corp 3% 20may2027,1,1897.335286005,1897.335286005
2022-09-23,Western Australian Treasury Corporation (WATC) 3.25% 20jul2028,1,1516.377690755,1516.377690755
2022-09-23,New South Wales Treasury Corp 2.25% 7may2041,1,1689.19006719,1689.19006719
2022-09-23,Belgium OLO 3.75% 22jun2045,1,1431.74046296,1431.74046296
2022-09-23,Japan JGB 0.4% 20sep2025,3666,1665.33060798,1665.33060798
2022-09-23,Japan JGB 0.1% 20sep2027,1,1142.14020028,1142.14020028
2022-09-23,Japan JGB 0.1% 20jun2031,1,1458.52970441,1458.52970441
2022-09-23,Japan JGB 1% 20dec2035,1,1702.35957856,1702.35957856
2022-09-23,Japan JGB 1.7% 20sep2044,1,1154.62090096,1154.62090096
2022-09-23,Spain OBL 3.8% 30apr2024,46136,1572.9711997,1572.9711997
2022-09-23,Spain OBL 2.15% 31oct2025,1774,2072.464701605,2072.464701605
2022-09-23,Spain OBL 1.45% 31oct2027,1,1742.326934035,1742.326934035
2022-09-23,Spain OBL 2.35% 30jul2033,1,2048.999721,2048.999721
2022-09-23,Spain OBL 2.9% 31oct2046,1,1712.24027972,1712.24027972
2022-09-26,Freddie Mac 0.375% 23sep2025,1,2022.86011139,2022.86011139
2022-09-27,USA Notes 2.625% 31mar2025,2,1973.904904095,1973.904904095
2022-09-28,Spain OBL 2.15% 31oct2025,1,2072.29079432,2072.29079432
2022-09-29,USA Notes 2.625% 31mar2025,-2,1974.18442289,1974.18442289
2022-09-29,Spain OBL 2.15% 31oct2025,-1,2072.30990069,2072.30990069
2022-09-30,USA Notes 2.625% 31mar2025,1,1974.2204811,1974.2204811
2022-09-30,Freddie Mac 0.375% 23sep2025,-1,2023.313821372,2023.313821372
2022-10-04,USA Notes 2.625% 31mar2025,-2,1974.57480685,1974.57480685
2022-10-05,Spain OBL 2.15% 31oct2025,-1,2072.975499875,2072.975499875
2022-10-06,USA Notes 2.625% 31mar2025,1,1974.27971116,1974.27971116
2022-10-06,Spain OBL 2.15% 31oct2025,1,2072.6890031,2072.6890031
2022-10-07,USA Notes 2.625% 31mar2025,1,1974.08951955,1974.08951955
2022-10-10,Freddie Mac 0.375% 23sep2025,1,2023.12071296,2023.12071296
2022-10-12,USA Notes 2.625% 31mar2025,1,1974.095288285,1974.095288285
2022-10-13,USA Notes 2.625% 31mar2025,-1,1974.064135415,1974.064135415
2022-10-17,USA Notes 2.625% 31mar2025,1,1973.80404195,1973.80404195
2022-10-20,Spain OBL 2.15% 31oct2025,1,2071.944307385,2071.944307385
2022-10-21,USA Notes 2.625% 31mar2025,1,1973.4492364,1973.4492364
2022-10-24,USA Notes 2.625% 31mar2025,1,1973.8890411,1973.8890411
2022-10-25,USA Notes 2.625% 31mar2025,-2,1973.76952115,1973.76952115
2022-10-25,Spain OBL 2.15% 31oct2025,-1,2072.575497875,2072.575497875
2022-10-26,USA Notes 2.625% 31mar2025,1,1973.88980822,1973.88980822
2022-10-27,USA Notes 2.625% 31mar2025,-1,1974.03557621,1974.03557621
2022-10-28,USA Notes 2.625% 31mar2025,-1,1974.1999038,1974.1999038
2022-10-28,Freddie Mac 0.375% 23sep2025,-1,2022.934377455,2022.934377455
2022-10-31,Freddie Mac 0.375% 23sep2025,1,2022.988701953384,2022.988701953384
2022-11-01,USA Notes 2.625% 31mar2025,1,1974.00980798,1974.00980798
2022-11-04,USA Notes 2.625% 31mar2025,1,1973.52009552,1973.52009552
2022-11-08,Spain OBL 2.15% 31oct2025,1,2072.135297405,2072.135297405
2022-11-09,USA Notes 2.625% 31mar2025,1,1973.685287055,1973.685287055
2022-11-10,USA Notes 2.625% 31mar2025,-1,1974.425674975,1974.425674975
2022-11-10,Spain OBL 2.15% 31oct2025,-1,2072.8253993,2072.8253993
2022-11-11,USA Notes 2.625% 31mar2025,-3,1974.42961428,1974.42961428
2022-11-11,Freddie Mac 0.375% 23sep2025,-1,2023.749282,2023.749282
2022-11-15,USA Notes 2.625% 31mar2025,1,1974.414710755,1974.414710755
2022-11-16,USA Notes 2.625% 31mar2025,-1,1974.499614,1974.499614
2022-11-18,USA Notes 2.625% 31mar2025,1,1974.284326005,1974.284326005
2022-11-29,USA Notes 2.625% 31mar2025,-1,1974.305,1974.305
2022-12-01,USA Notes 2.625% 31mar2025,1,1974.65961336,1974.65961336
2022-12-02,USA Notes 2.625% 31mar2025,-2,1974.57922736,1974.57922736
2022-12-07,USA Notes 2.625% 31mar2025,1,1974.72038688,1974.72038688
2022-12-08,USA Notes 2.625% 31mar2025,-1,1974.6804834,1974.6804834
2022-12-08,Japan JGB 0.4% 20sep2025,1,1665.11040444,1665.11040444
2022-12-13,USA Notes 2.625% 31mar2025,1,1974.88077504,1974.88077504
2022-12-14,USA Notes 2.625% 31mar2025,-2,1974.9604848,1974.9604848
2022-12-16,USA Notes 2.625% 31mar2025,1,1974.8195159,1974.8195159
2022-12-16,Spain OBL 2.15% 31oct2025,1,2071.66578932,2071.66578932
2022-12-19,USA Notes 2.625% 31mar2025,-1,1974.8190318,1974.8190318
2022-12-20,Japan JGB 0.4% 20sep2025,-1,1665.11,1665.11
2022-12-21,USA Notes 2.625% 31mar2025,1,1974.835096835,1974.835096835
2022-12-21,Japan JGB 0.4% 20sep2025,1,1665.04040416,1665.04040416
2022-12-22,USA Notes 2.625% 31mar2025,-1,1974.8025968025,1974.8025968025
2022-12-23,USA Notes 2.625% 31mar2025,1,1974.655289965,1974.655289965
2022-12-28,USA Notes 2.625% 31mar2025,1,1974.50557903,1974.50557903
